tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Good Morning Call,11519429,309066,1,0,27
The Good Place,11519429,311711,1,0,74
Making History (2017),11519429,311833,1,0,9
Great News,11519429,311899,1,0,7
Riverdale,11519429,311954,1,0,2
Trial & Error,11519429,311969,1,0,23
Ghosts of Shepherdstown,11519429,312104,1,0,0
Dirk Gently's Holistic Detective Agency,11519429,312505,1,0,18
Blood Drive,11519429,314189,1,0,13
Fleabag,11519429,314614,1,0,12
Easy,11519429,314884,1,0,2
The Tick (2017),11519429,317654,1,0,30
Crazyhead,11519429,318000,1,0,6
Norsemen,11519429,318009,1,0,18
Mariottide,11519429,318824,1,0,3
Sick Note,11519429,319127,1,0,14
Brown Nation,11519429,319829,1,0,10
Santa Clarita Diet,11519429,320450,1,0,30
Legion,11519429,320724,1,0,7
The OA,11519429,321060,1,0,2
The Terror,11519429,322191,1,0,10
Girlboss,11519429,322246,1,0,1
GLOW,11519429,324835,1,0,19
Salvation,11519429,325517,1,0,5
The Marvelous Mrs. Maisel,11519429,326791,1,0,5
Disjointed,11519429,327359,1,0,1
Money Heist,11519429,327417,1,0,23
Happy!,11519429,328361,1,0,8
Splitting Up Together (US),11519429,328595,1,0,8
Friends from College,11519429,328972,1,0,2
Castlevania,11519429,329065,1,0,22
Ghost Wars,11519429,329096,1,0,13
Oats Studios,11519429,330879,1,0,19
Future Man,11519429,330997,1,0,34
Final Space,11519429,332353,1,0,24
American Vandal,11519429,332828,1,0,16
The Vietnam War (2017),11519429,333595,1,0,2
Superstition,11519429,334003,1,0,0
Samantha!,11519429,334543,1,0,14
The End of the F***ing World,11519429,336522,1,0,30
Blazing Transfer Students,11519429,337686,1,0,8
Devilman Crybaby,11519429,338192,1,0,10
Derry Girls,11519429,338903,1,0,19
Chilling Adventures of Sabrina,11519429,338947,1,0,3
On My Block,11519429,339273,1,0,0
Disenchantment,11519429,340234,1,0,50
Age of the Living Dead,11519429,341230,1,0,4
The Joel McHale Show with Joel McHale,11519429,341483,1,0,19
Truth Seekers,11519429,341551,1,0,8
The Rain,11519429,341704,1,0,20
Lost in Space (2018),11519429,343253,1,0,1
Skam Italy,11519429,344216,1,0,0
Bonding,11519429,344643,1,0,3
The Haunting,11519429,345246,1,0,1
Diablero,11519429,345944,1,0,14
Back with the Ex,11519429,346345,1,0,7
Feel The Dead,11519429,346755,1,0,6
After Life,11519429,347507,1,0,6
Nightflyers,11519429,347648,1,0,10
Jinn,11519429,347710,1,0,5
Insatiable,11519429,348117,1,0,12
The Peripheral,11519429,349187,1,0,0
Shining Vale,11519429,349342,1,0,14
The Wilds,11519429,349826,1,0,10
GHOUL,11519429,350056,1,0,3
Dark Tourist,11519429,350264,1,0,8
Black Summer,11519429,350587,1,0,2
1983,11519429,350796,1,0,1
Maniac (2018),11519429,350864,1,0,10
The Kominsky Method,11519429,350869,1,0,1
Forever (2018),11519429,350995,1,0,8
Haunted (2018),11519429,353309,1,0,18
Medal of Honor,11519429,353913,1,0,8
Sky Rojo,11519429,354567,1,0,12
Daybreak (2019),11519429,354735,1,0,10
The Boys,11519429,355567,1,0,16
Doom Patrol,11519429,355622,1,0,14
For All Mankind,11519429,356202,1,0,60
Sex Education,11519429,356317,1,0,32
Russian Doll,11519429,356640,1,0,8
Spectros,11519429,357805,1,0,7
"Love, Death & Robots",11519429,357888,1,0,45
What We Do in the Shadows,11519429,358211,1,0,40
Good Omens,11519429,359569,1,0,6
Euphoria (US),11519429,360261,1,0,16
To the Lake,11519429,361039,1,0,3
Selling Sunset,11519429,361394,1,0,29
The Politician,11519429,361411,1,0,8
State of the Union,11519429,361644,1,0,10
The Mandalorian,11519429,361753,1,0,19
The Hockey Girls,11519429,362177,1,0,2
It's Bruno!,11519429,362578,1,0,3
The Witcher,11519429,362696,0,0,0
I Think You Should Leave with Tim Robinson,11519429,362753,1,0,3
Historical Roasts,11519429,363118,1,0,1
Motherland: Fort Salem,11519429,364047,1,0,11
Emily in Paris,11519429,364439,1,0,27
Merry Happy Whatever,11519429,365065,1,0,8
Marianne,11519429,365442,1,0,2
KAOS,11519429,365700,1,0,8
Another Life,11519429,365722,1,0,30
The Sandman,11519429,366211,1,0,12
Halo,11519429,366524,1,0,0
Twisted Metal,11519429,366532,1,0,12
Midnight Mass,11519429,367226,1,0,7
Cowboy Bebop (2021),11519429,367234,1,0,10
Dollface,11519429,367553,1,0,20
Tales from the Loop,11519429,368210,1,0,1
Upload,11519429,368211,1,0,9
SAS Rogue Heroes,11519429,368401,0,0,4
Living with Yourself,11519429,368523,1,0,8
Home for Christmas,11519429,368597,1,0,12
Space Force,11519429,368667,1,0,8
Into the Night,11519429,369076,1,0,6
The Great,11519429,369301,1,0,6
30 Coins,11519429,369414,1,0,11
Zomboat!,11519429,370114,1,0,6
Arcane,11519429,371028,1,0,19
Mortel,11519429,371258,1,0,6
V-Wars,11519429,371610,1,0,2
I May Destroy You,11519429,371798,1,0,8
Dispatches from Elsewhere,11519429,371820,1,0,9
Singapore Social,11519429,371856,1,0,8
Brand New Cherry Flavor,11519429,372316,1,0,8
Don't F**k with Cats: Hunting an Internet Killer,11519429,372566,1,0,3
The Neighbor,11519429,372637,1,0,28
